booking_id,booking_date,departure_date,lead_time_days,airline,origin,destination,haul_type,cabin_class,trip_type,fare_basis,booking_channel,booking_source,pax_count,base_fare_inr,taxes_inr,total_fare_inr,ancillary_revenue_inr,payment_method,prior_bookings,booking_status,customer_complaint,satisfaction_score
CLR-00001,2025-11-24,2025-12-09,15,Air Canada,DEL,LHR,Long-Haul,Economy,Round-Trip,MOWRT,B2B_Agent,NDC,2,18788.67,1749.55,41076.44,,Credit Card,0,Ticketed,,5
CLR-00002,2025-06-24,2025-07-30,36,Condor,BLR,FRA,Long-Haul,First,One-Way,LOWRT,B2B_Agent,NDC,3,286719.58,52229.54,1016847.36,9372.39,Agent Credit,0,Cancelled,,
CLR-00003,2025-05-29,2025-06-09,11,KLM,DEL,JFK,Long-Haul,Economy,One-Way,LOWRT,B2C_Website,GDS,1,43848.08,7703.96,51552.04,0.0,Credit Card,0,Ticketed,,5
CLR-00004,2025-04-28,2025-08-12,106,American Airlines,BOM,DXB,Medium-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,3,19142.46,2591.67,65202.39,6750.15,Credit Card,0,Ticketed,,5
CLR-00005,2025-01-25,2025-05-16,111,Etihad Airways,DEL,CDG,Long-Haul,Premium Economy,One-Way,QOWRT,API_Partner,GDS,1,67299.98,14533.5,81833.48,0.0,Credit Card,1,Ticketed,,4
CLR-00006,2025-09-14,2025-12-21,98,British Airways,HYD,AMS,Long-Haul,Business,Round-Trip,EOWRT,API_Partner,NDC,2,110545.32,11343.81,243778.26,14184.93,Bank Transfer,8,Ticketed,,5
CLR-00007,2025-09-06,2025-12-20,105,British Airways,MAA,SIN,Medium-Haul,Business,Round-Trip,MOWRT,B2B_Agent,GDS,1,85379.59,17933.8,103313.39,606.47,Debit Card,1,Ticketed,,4
CLR-00008,2025-02-06,2025-05-08,91,Condor,BOM,DXB,Medium-Haul,Economy,Round-Trip,QOWRT,B2B_Agent,NDC,1,11642.03,1147.02,12789.05,2600.49,Debit Card,0,Ticketed,,4
CLR-00009,2025-02-01,2025-03-25,52,KLM,DEL,AUH,Medium-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,1,22866.26,2070.63,24936.89,2989.54,Bank Transfer,0,No-Show,Meal preference not available onboard,1
CLR-00010,2025-07-14,2025-07-15,1,Air Canada,CCU,BKK,Medium-Haul,Business,Round-Trip,QOWRT,API_Partner,NDC,3,37210.41,4522.52,125198.79,0.0,Debit Card,17,Ticketed,,
