booking_id,booking_date,departure_date,lead_time_days,airline,origin,destination,haul_type,cabin_class,trip_type,fare_basis,booking_channel,booking_source,pax_count,base_fare_inr,taxes_inr,total_fare_inr,ancillary_revenue_inr,payment_method,prior_bookings,booking_status,customer_complaint,satisfaction_score,calculated_lead_time,expected_total_fare,route,booking_month,booking_day,travel_month,fare_per_passenger,booking_window,loyalty_segment,is_cancelled,lead_time_bin,fare_quintile,booking_month_name,customer_type
CLR-00001,2025-11-24,2025-12-09,15,Air Canada,DEL,LHR,Long-Haul,Economy,Round-Trip,MOWRT,B2B_Agent,NDC,2,18788.67,1749.55,41076.44,0.0,Credit Card,0,Ticketed,No,5.0,15,41076.439999999995,DEL → LHR,11,Monday,December,20538.22,Short_Term,New,0,8-30d,Q2,Nov,New Customer
CLR-00002,2025-06-24,2025-07-30,36,Condor,BLR,FRA,Long-Haul,First,One-Way,LOWRT,B2B_Agent,NDC,3,286719.58,52229.54,1016847.36,9372.39,Agent Credit,0,Cancelled,No,4.0,36,1016847.36,BLR → FRA,6,Tuesday,July,338949.12,Planned,New,1,31-90d,"Q5
(Highest)",Jun,New Customer
CLR-00003,2025-05-29,2025-06-09,11,KLM,DEL,JFK,Long-Haul,Economy,One-Way,LOWRT,B2C_Website,GDS,1,43848.08,7703.96,51552.04,0.0,Credit Card,0,Ticketed,No,5.0,11,51552.04,DEL → JFK,5,Thursday,June,51552.04,Short_Term,New,0,8-30d,Q2,May,New Customer
CLR-00004,2025-04-28,2025-08-12,106,American Airlines,BOM,DXB,Medium-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,3,19142.46,2591.67,65202.39,6750.15,Credit Card,0,Ticketed,No,5.0,106,65202.38999999999,BOM → DXB,4,Monday,August,21734.13,Early_Bird,New,0,91-180d,Q3,Apr,New Customer
CLR-00005,2025-01-25,2025-05-16,111,Etihad Airways,DEL,CDG,Long-Haul,Premium Economy,One-Way,QOWRT,API_Partner,GDS,1,67299.98,14533.5,81833.48,0.0,Credit Card,1,Ticketed,No,4.0,111,81833.48,DEL → CDG,1,Saturday,May,81833.48,Early_Bird,Occasional,0,91-180d,Q3,Jan,Repeat Customer
CLR-00006,2025-09-14,2025-12-21,98,British Airways,HYD,AMS,Long-Haul,Business,Round-Trip,EOWRT,API_Partner,NDC,2,110545.32,11343.81,243778.26,14184.93,Bank Transfer,8,Ticketed,No,5.0,98,243778.26,HYD → AMS,9,Sunday,December,121889.13,Early_Bird,Regular,0,91-180d,"Q5
(Highest)",Sep,Repeat Customer
CLR-00007,2025-09-06,2025-12-20,105,British Airways,MAA,SIN,Medium-Haul,Business,Round-Trip,MOWRT,B2B_Agent,GDS,1,85379.59,17933.8,103313.39,606.47,Debit Card,1,Ticketed,No,4.0,105,103313.39,MAA → SIN,9,Saturday,December,103313.39,Early_Bird,Occasional,0,91-180d,Q4,Sep,Repeat Customer
CLR-00008,2025-02-06,2025-05-08,91,Condor,BOM,DXB,Medium-Haul,Economy,Round-Trip,QOWRT,B2B_Agent,NDC,1,11642.03,1147.02,12789.05,2600.49,Debit Card,0,Ticketed,No,4.0,91,12789.050000000001,BOM → DXB,2,Thursday,May,12789.05,Early_Bird,New,0,91-180d,"Q1
(Lowest)",Feb,New Customer
CLR-00009,2025-02-01,2025-03-25,52,KLM,DEL,AUH,Medium-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,1,22866.26,2070.63,24936.89,2989.54,Bank Transfer,0,No-Show,Meal preference not available onboard,1.0,52,24936.89,DEL → AUH,2,Saturday,March,24936.89,Planned,New,0,31-90d,"Q1
(Lowest)",Feb,New Customer
CLR-00010,2025-07-14,2025-07-15,1,Air Canada,CCU,BKK,Medium-Haul,Business,Round-Trip,QOWRT,API_Partner,NDC,3,37210.41,4522.52,125198.79,0.0,Debit Card,17,Ticketed,No,4.0,1,125198.79000000002,CCU → BKK,7,Monday,July,41732.93,Last_Minute,Frequent,0,0-7d,Q4,Jul,Repeat Customer
CLR-00011,2025-12-12,2026-04-02,111,Lufthansa,DEL,JFK,Long-Haul,Economy,Round-Trip,MOWRT,API_Partner,NDC,2,42185.76,6713.09,97797.7,0.0,Credit Card,3,Ticketed,No,4.0,111,97797.70000000001,DEL → JFK,12,Friday,April,48898.85,Early_Bird,Occasional,0,91-180d,Q4,Dec,Repeat Customer
CLR-00012,2025-02-21,2025-03-03,10,Condor,DEL,SIN,Medium-Haul,Economy,One-Way,LOWRT,B2B_Agent,NDC,1,10681.7,2101.35,12783.05,1111.68,Agent Credit,0,No-Show,No,3.0,10,12783.050000000001,DEL → SIN,2,Friday,March,12783.05,Short_Term,New,0,8-30d,"Q1
(Lowest)",Feb,New Customer
CLR-00013,2025-02-24,2025-05-31,96,Etihad Airways,DEL,SIN,Medium-Haul,Economy,One-Way,MOWRT,B2C_Website,GDS,2,16591.95,1910.68,37005.26,0.0,Debit Card,15,Cancelled,No,4.0,96,37005.26,DEL → SIN,2,Monday,May,18502.63,Early_Bird,Frequent,1,91-180d,Q2,Feb,Repeat Customer
CLR-00014,2025-02-08,2025-06-02,114,British Airways,BLR,FRA,Long-Haul,Economy,Round-Trip,HOWRT,B2B_Agent,GDS,1,51221.91,9806.8,61028.71,0.0,Credit Card,0,Cancelled,No,4.0,114,61028.71000000001,BLR → FRA,2,Saturday,June,61028.71,Early_Bird,New,1,91-180d,Q3,Feb,New Customer
CLR-00015,2025-03-25,2025-07-06,103,Lufthansa,HYD,AMS,Long-Haul,Economy,Multi-City,BOWRT,API_Partner,NDC,3,27578.53,5246.33,98474.58,0.0,Credit Card,0,Ticketed,No,5.0,103,98474.58,HYD → AMS,3,Tuesday,July,32824.86,Early_Bird,New,0,91-180d,Q4,Mar,New Customer
CLR-00016,2025-05-23,2025-09-11,111,Air Canada,MAA,SIN,Medium-Haul,Economy,Round-Trip,YOWRT,B2C_Website,GDS,1,9960.81,2150.1,12110.91,0.0,Agent Credit,0,Cancelled,No,5.0,111,12110.91,MAA → SIN,5,Friday,September,12110.91,Early_Bird,New,1,91-180d,"Q1
(Lowest)",May,New Customer
CLR-00017,2025-04-08,2025-05-11,33,Lufthansa,BOM,DXB,Medium-Haul,Economy,Round-Trip,BOWRT,Mobile_App,GDS,3,14191.77,1274.37,46398.42,5054.2,Bank Transfer,10,Refunded,No,4.0,33,46398.42,BOM → DXB,4,Tuesday,May,15466.14,Planned,Regular,1,31-90d,Q2,Apr,Repeat Customer
CLR-00018,2025-07-14,2025-10-09,87,Singapore Airlines,HYD,AMS,Long-Haul,Economy,Round-Trip,HOWRT,B2C_Website,GDS,1,34990.56,4965.24,39955.8,505.59,UPI,0,Ticketed,No,5.0,87,39955.799999999996,HYD → AMS,7,Monday,October,39955.8,Planned,New,0,31-90d,Q2,Jul,New Customer
CLR-00019,2025-06-08,2025-07-07,29,Etihad Airways,COK,DOH,Medium-Haul,Economy,Round-Trip,MOWRT,B2B_Agent,GDS,1,23064.33,3703.99,26768.32,2485.94,Credit Card,14,No-Show,No,5.0,29,26768.32,COK → DOH,6,Sunday,July,26768.32,Short_Term,Frequent,0,8-30d,"Q1
(Lowest)",Jun,Repeat Customer
CLR-00020,2025-08-26,2025-09-02,7,Condor,DEL,SIN,Medium-Haul,Business,Round-Trip,HOWRT,B2B_Agent,NDC,2,84527.36,17311.17,203677.06,9267.41,Agent Credit,0,Ticketed,No,5.0,7,203677.06,DEL → SIN,8,Tuesday,September,101838.53,Last_Minute,New,0,0-7d,"Q5
(Highest)",Aug,New Customer
CLR-00021,2025-05-03,2025-06-08,36,KLM,BOM,FRA,Long-Haul,Premium Economy,Multi-City,EOWRT,B2B_Agent,NDC,1,47248.52,8370.22,55618.74,282.11,Debit Card,0,Confirmed,No,4.0,36,55618.74,BOM → FRA,5,Saturday,June,55618.74,Planned,New,0,31-90d,Q2,May,New Customer
CLR-00022,2025-07-14,2025-09-14,62,American Airlines,DEL,LHR,Long-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,2,35859.78,4239.02,80197.6,0.0,Credit Card,0,Confirmed,No,3.0,62,80197.6,DEL → LHR,7,Monday,September,40098.8,Planned,New,0,31-90d,Q3,Jul,New Customer
CLR-00023,2025-01-14,2025-01-25,11,Etihad Airways,DEL,YYZ,Long-Haul,Business,Round-Trip,HOWRT,B2B_Agent,NDC,2,161244.97,21458.1,365406.14,3761.36,Credit Card,0,Cancelled,No,3.0,11,365406.14,DEL → YYZ,1,Tuesday,January,182703.07,Short_Term,New,1,8-30d,"Q5
(Highest)",Jan,New Customer
CLR-00024,2025-05-07,2025-06-02,26,Singapore Airlines,DEL,LHR,Long-Haul,Economy,Round-Trip,LOWRT,B2B_Agent,GDS,1,46281.99,4789.75,51071.74,0.0,Credit Card,0,Ticketed,No,4.0,26,51071.74,DEL → LHR,5,Wednesday,June,51071.74,Short_Term,New,0,8-30d,Q2,May,New Customer
CLR-00025,2025-11-18,2025-12-20,32,Air Canada,DEL,CDG,Long-Haul,Business,Multi-City,HOWRT,B2C_Website,NDC,3,131336.35,22670.36,462020.13,0.0,Credit Card,0,Confirmed,No,4.0,32,462020.13000000006,DEL → CDG,11,Tuesday,December,154006.71,Planned,New,0,31-90d,"Q5
(Highest)",Nov,New Customer
CLR-00026,2025-11-30,2026-01-04,35,British Airways,BOM,CDG,Long-Haul,Business,Round-Trip,BOWRT,B2C_Website,GDS,1,170342.69,15694.15,186036.84,2603.52,Debit Card,9,Confirmed,No,3.0,35,186036.84,BOM → CDG,11,Sunday,January,186036.84,Planned,Regular,0,31-90d,"Q5
(Highest)",Nov,Repeat Customer
CLR-00027,2025-05-22,2025-08-02,72,British Airways,DEL,LHR,Long-Haul,Business,Round-Trip,QOWRT,B2B_Agent,GDS,3,146148.69,21734.5,503649.57,0.0,Credit Card,0,Ticketed,No,4.0,72,503649.57,DEL → LHR,5,Thursday,August,167883.19,Planned,New,0,31-90d,"Q5
(Highest)",May,New Customer
CLR-00028,2025-05-19,2025-06-28,40,Condor,BOM,LHR,Long-Haul,Economy,Round-Trip,EOWRT,B2B_Agent,NDC,3,24763.63,4541.76,87916.17,3673.76,Agent Credit,1,Confirmed,No,3.0,40,87916.17,BOM → LHR,5,Monday,June,29305.39,Planned,Occasional,0,31-90d,Q3,May,Repeat Customer
CLR-00029,2025-01-28,2025-04-09,71,Etihad Airways,MAA,KUL,Medium-Haul,Premium Economy,One-Way,QOWRT,API_Partner,NDC,1,27878.35,2949.83,30828.18,0.0,Agent Credit,0,Cancelled,No,4.0,71,30828.18,MAA → KUL,1,Tuesday,April,30828.18,Planned,New,1,31-90d,"Q1
(Lowest)",Jan,New Customer
CLR-00030,2025-02-13,2025-03-17,32,British Airways,DEL,CDG,Long-Haul,Business,One-Way,QOWRT,B2C_Website,GDS,2,180523.22,21956.94,404960.32,4026.9,Bank Transfer,0,Ticketed,No,4.0,32,404960.32,DEL → CDG,2,Thursday,March,202480.16,Planned,New,0,31-90d,"Q5
(Highest)",Feb,New Customer
CLR-00031,2025-01-02,2025-02-24,53,Singapore Airlines,BOM,FRA,Long-Haul,Economy,Round-Trip,VOWRT,B2B_Agent,NDC,4,43308.2,9066.47,209498.68,1850.28,Debit Card,0,Ticketed,Schedule change not communicated,3.0,53,209498.68,BOM → FRA,1,Thursday,February,52374.67,Planned,New,0,31-90d,"Q5
(Highest)",Jan,New Customer
CLR-00032,2025-08-28,2025-11-25,89,Lufthansa,MAA,KUL,Medium-Haul,Business,One-Way,MOWRT,B2C_Website,GDS,1,71704.77,11796.86,83501.63,0.0,Agent Credit,2,Ticketed,No,5.0,89,83501.63,MAA → KUL,8,Thursday,November,83501.63,Planned,Occasional,0,31-90d,Q3,Aug,Repeat Customer
CLR-00033,2025-08-15,2025-12-11,118,Etihad Airways,BOM,LHR,Long-Haul,First,Multi-City,MOWRT,B2C_Website,GDS,2,180394.4,31355.92,423500.64,0.0,Bank Transfer,0,Refunded,No,4.0,118,423500.64,BOM → LHR,8,Friday,December,211750.32,Early_Bird,New,1,91-180d,"Q5
(Highest)",Aug,New Customer
CLR-00034,2025-07-26,2025-11-14,111,Air France,HYD,LHR,Long-Haul,Premium Economy,One-Way,QOWRT,B2C_Website,GDS,1,73782.52,13752.96,87535.48,383.53,Credit Card,1,Ticketed,Meal preference not available onboard,3.0,111,87535.48000000001,HYD → LHR,7,Saturday,November,87535.48,Early_Bird,Occasional,0,91-180d,Q3,Jul,Repeat Customer
CLR-00035,2025-02-28,2025-04-29,60,Etihad Airways,DEL,CDG,Long-Haul,Economy,Round-Trip,QOWRT,API_Partner,GDS,3,26715.54,4199.07,92743.83,5179.58,Unknown,17,Confirmed,No,4.0,60,92743.83,DEL → CDG,2,Friday,April,30914.61,Planned,Frequent,0,31-90d,Q3,Feb,Repeat Customer
CLR-00036,2025-10-28,2026-01-11,75,Etihad Airways,MAA,DXB,Medium-Haul,Economy,Round-Trip,HOWRT,B2C_Website,NDC,1,22783.23,4950.99,27734.22,535.9,Credit Card,0,Ticketed,No,5.0,75,27734.22,MAA → DXB,10,Tuesday,January,27734.22,Planned,New,0,31-90d,"Q1
(Lowest)",Oct,New Customer
CLR-00037,2025-09-11,2025-09-16,5,British Airways,BLR,FRA,Long-Haul,First,Round-Trip,QOWRT,B2B_Agent,NDC,1,109044.0,10924.22,119968.22,0.0,UPI,0,Ticketed,No,4.0,5,119968.22,BLR → FRA,9,Thursday,September,119968.22,Last_Minute,New,0,0-7d,Q4,Sep,New Customer
CLR-00038,2025-09-07,2025-12-28,112,Air France,DEL,SIN,Medium-Haul,Premium Economy,Round-Trip,VOWRT,B2B_Agent,GDS,1,27679.53,2595.84,30275.37,0.0,Bank Transfer,17,Ticketed,No,4.0,112,30275.37,DEL → SIN,9,Sunday,December,30275.37,Early_Bird,Frequent,0,91-180d,"Q1
(Lowest)",Sep,Repeat Customer
CLR-00039,2025-03-31,2025-04-11,11,Lufthansa,BOM,CDG,Long-Haul,Premium Economy,One-Way,LOWRT,B2B_Agent,GDS,2,62618.29,10855.36,146947.3,9808.47,Bank Transfer,0,Cancelled,No,4.0,11,146947.3,BOM → CDG,3,Monday,April,73473.65,Short_Term,New,1,8-30d,Q4,Mar,New Customer
CLR-00040,2025-04-12,2025-06-01,50,KLM,MAA,DXB,Medium-Haul,Economy,Multi-City,MOWRT,B2C_Website,GDS,1,12666.17,2016.84,14683.01,0.0,UPI,7,Ticketed,No,5.0,50,14683.01,MAA → DXB,4,Saturday,June,14683.01,Planned,Regular,0,31-90d,"Q1
(Lowest)",Apr,Repeat Customer
CLR-00041,2025-12-04,2026-03-02,88,KLM,BLR,FRA,Long-Haul,Business,Round-Trip,EOWRT,B2C_Website,NDC,2,73398.46,8904.37,164605.66,3378.2,Credit Card,16,Ticketed,No,5.0,88,164605.66,BLR → FRA,12,Thursday,March,82302.83,Planned,Frequent,0,31-90d,Q4,Dec,Repeat Customer
CLR-00042,2025-02-28,2025-04-29,60,Etihad Airways,MAA,SIN,Medium-Haul,Business,Round-Trip,HOWRT,B2B_Agent,GDS,1,33373.02,4513.38,37886.4,1036.57,Debit Card,8,Ticketed,No,4.0,60,37886.399999999994,MAA → SIN,2,Friday,April,37886.4,Planned,Regular,0,31-90d,Q2,Feb,Repeat Customer
CLR-00043,2025-06-17,2025-10-13,118,Condor,BOM,CDG,Long-Haul,Premium Economy,Round-Trip,VOWRT,B2C_Website,GDS,2,41089.79,8730.62,99640.82,2991.85,Credit Card,0,Cancelled,No,4.0,118,99640.82,BOM → CDG,6,Tuesday,October,49820.41,Early_Bird,New,1,91-180d,Q4,Jun,New Customer
CLR-00044,2025-03-21,2025-07-13,114,KLM,DEL,YYZ,Long-Haul,Business,Round-Trip,BOWRT,B2C_Website,GDS,2,119638.85,25492.37,290262.44,1798.06,Bank Transfer,15,Ticketed,No,4.0,114,290262.44,DEL → YYZ,3,Friday,July,145131.22,Early_Bird,Frequent,0,91-180d,"Q5
(Highest)",Mar,Repeat Customer
CLR-00045,2025-01-11,2025-01-18,7,Condor,DEL,AUH,Medium-Haul,First,Round-Trip,BOWRT,API_Partner,NDC,2,130931.4,14745.47,291353.74,0.0,Bank Transfer,1,Ticketed,No,5.0,7,291353.74,DEL → AUH,1,Saturday,January,145676.87,Last_Minute,Occasional,0,0-7d,"Q5
(Highest)",Jan,Repeat Customer
CLR-00046,2025-10-29,2025-12-10,42,Etihad Airways,DEL,LHR,Long-Haul,Economy,One-Way,QOWRT,B2B_Agent,GDS,1,46697.84,7091.22,53789.06,0.0,Credit Card,0,Ticketed,No,4.0,42,53789.06,DEL → LHR,10,Wednesday,December,53789.06,Planned,New,0,31-90d,Q2,Oct,New Customer
CLR-00047,2025-08-07,2025-11-03,88,Emirates,DEL,CDG,Long-Haul,Premium Economy,Round-Trip,EOWRT,B2C_Website,GDS,1,50194.08,8464.26,58658.34,6060.76,Debit Card,18,Ticketed,No,5.0,88,58658.340000000004,DEL → CDG,8,Thursday,November,58658.34,Planned,Frequent,0,31-90d,Q2,Aug,Repeat Customer
CLR-00048,2025-04-27,2025-06-19,53,Emirates,DEL,AUH,Medium-Haul,Economy,Round-Trip,EOWRT,API_Partner,NDC,1,19675.96,2880.51,22556.47,0.0,Credit Card,0,Refunded,No,4.0,53,22556.47,DEL → AUH,4,Sunday,June,22556.47,Planned,New,1,31-90d,"Q1
(Lowest)",Apr,New Customer
CLR-00049,2025-07-01,2025-10-21,112,Air France,DEL,YYZ,Long-Haul,First,Round-Trip,QOWRT,B2C_Website,GDS,1,155920.55,14835.93,170756.48,4337.81,Unknown,0,Ticketed,No,5.0,112,170756.47999999998,DEL → YYZ,7,Tuesday,October,170756.48,Early_Bird,New,0,91-180d,Q4,Jul,New Customer
CLR-00050,2025-12-22,2026-01-26,35,Etihad Airways,DEL,LHR,Long-Haul,Economy,Round-Trip,EOWRT,API_Partner,GDS,1,38780.41,5278.39,44058.8,0.0,Agent Credit,10,Cancelled,No,4.0,35,44058.8,DEL → LHR,12,Monday,January,44058.8,Planned,Regular,1,31-90d,Q2,Dec,Repeat Customer
CLR-00051,2025-02-13,2025-06-07,114,Etihad Airways,BOM,DXB,Medium-Haul,Economy,Round-Trip,QOWRT,B2C_Website,GDS,2,18320.29,2527.94,41696.46,1254.94,Credit Card,13,Ticketed,No,5.0,114,41696.46,BOM → DXB,2,Thursday,June,20848.23,Early_Bird,Frequent,0,91-180d,Q2,Feb,Repeat Customer
CLR-00052,2025-04-19,2025-07-27,99,Air Canada,BLR,FRA,Long-Haul,Economy,Round-Trip,BOWRT,B2B_Agent,GDS,1,36309.81,7141.04,43450.85,858.11,Agent Credit,0,Cancelled,No,4.0,99,43450.85,BLR → FRA,4,Saturday,July,43450.85,Early_Bird,New,1,91-180d,Q2,Apr,New Customer
CLR-00053,2025-02-28,2025-04-21,52,American Airlines,DEL,LHR,Long-Haul,Economy,Round-Trip,MOWRT,Mobile_App,GDS,1,49183.72,5610.11,54793.83,2559.91,Debit Card,17,Ticketed,No,4.0,52,54793.83,DEL → LHR,2,Friday,April,54793.83,Planned,Frequent,0,31-90d,Q2,Feb,Repeat Customer
CLR-00054,2025-11-27,2026-03-12,105,Condor,BLR,FRA,Long-Haul,Economy,One-Way,VOWRT,B2B_Agent,NDC,3,24225.27,4559.17,86353.32,10121.51,Bank Transfer,11,Ticketed,No,4.0,105,86353.32,BLR → FRA,11,Thursday,March,28784.440000000002,Early_Bird,Frequent,0,91-180d,Q3,Nov,Repeat Customer
CLR-00055,2025-06-05,2025-09-15,102,Singapore Airlines,BOM,LHR,Long-Haul,Economy,Round-Trip,LOWRT,B2C_Website,NDC,1,20469.74,4114.32,24584.06,0.0,Debit Card,0,Ticketed,No,4.0,102,24584.06,BOM → LHR,6,Thursday,September,24584.06,Early_Bird,New,0,91-180d,"Q1
(Lowest)",Jun,New Customer
